AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Latitude,Longitude
9100BEDYN,BEDYN,BDW,Bedwyn Rail Station,"",U,428020,164586,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,51.3796362626, -1.5987734873
9100SPTN,SPTN,SIP,Shipton Rail Station,"",U,428143,218642,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,51.8656602235, -1.5926793251
9100HEWORTH,HEWORTH,HEW,Heworth Rail Station,"",U,428550,561970,2003-11-04T00:00:00,2007-02-13T17:06:21,3,rev,54.951574003, -1.5557793317
9100WARWICK,WARWICK,WRW,Warwick Rail Station,"",U,428620,265460,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,52.2865527555, -1.5818426042
9100NTRD,NTRD,NRD,North Road Rail Station,"",U,428960,515750,2005-04-04T00:00:00,2006-09-18T18:24:34,1,rev,54.5362092283, -1.5539587211
9100SKSCMN,SKSCMN,SLK,Silkstone Common Rail Station,"",U,429030,404340,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.5349327521, -1.5634802419
9100KENLSTN,KENLSTN,KNW,Kenilworth Rail Station,"",U,429205,271711,2017-11-12T21:49:11,2017-11-12T21:49:11,1,New,52.3427193518, -1.5727265434
9100DLTN,DLTN,DAR,Darlington Rail Station,"",U,429400,514000,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.5204574957, -1.5473329223
9100WLNTNON,WLNTNON,WIL,Willington Rail Station,"",U,429500,328550,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,52.8536609081, -1.5633566039
9100MATLOCK,MATLOCK,MAT,Matlock Rail Station,"",U,429605,360230,2003-11-04T00:00:00,2011-11-03T16:09:31,5,rev,53.1384242777, -1.5589084294
9100MATLCKB,MATLCKB,MTB,Matlock Bath Rail Station,"",U,429760,358445,2003-11-04T00:00:00,2011-11-03T16:09:31,4,rev,53.1223708532, -1.5567564386
9100LEEDS,LEEDS,LDS,Leeds Rail Station,"",U,429870,433352,2003-11-04T00:00:00,2008-10-07T09:28:45,2,rev,53.7956409037, -1.5480300934
9100ASCTUWD,ASCTUWD,AUW,Ascott-under-Wychwood Rail Station,"",U,430114,218841,2005-04-21T00:00:00,2006-09-18T18:24:34,1,rev,51.8673469281, -1.5640381523
9100BKNHRST,BKNHRST,BCU,Brockenhurst Rail Station,"",U,430140,102008,2003-11-04T00:00:00,2006-11-24T15:29:01,3,rev,50.8168300371, -1.5735227393
9100CROMFD,CROMFD,CMF,Cromford Rail Station,"",U,430275,357400,2003-11-04T00:00:00,2011-11-03T16:09:31,2,rev,53.1129487944, -1.5491593967
9100ATHRSTN,ATHRSTN,ATH,Atherstone Rail Station,"",U,430400,298000,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev,52.5789873633, -1.5528024825
9100HAGT,HAGT,HGT,Harrogate Rail Station,"",U,430413,455336,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.9931903958, -1.5376134519
9100PANNAL,PANNAL,PNL,Pannal Rail Station,"",U,430710,451460,2005-04-04T00:00:00,2006-09-18T18:24:34,1,rev,53.9583379183, -1.5334728227
9100CANLEY,CANLEY,CNL,Canley Rail Station,"",U,430880,278010,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,52.3992554076, -1.5475652767
9100DRTN,DRTN,DRT,Darton Rail Station,"",U,431100,410300,2005-11-03T00:00:00,2006-09-18T18:24:34,1,rev,53.5883833705, -1.5316604623
9100DODWRTH,DODWRTH,DOD,Dodworth Rail Station,"",U,431130,405400,2003-11-04T00:00:00,2010-12-20T15:37:54,2,rev,53.5443407648, -1.5316921206
9100HRNBPK,HRNBPK,HBP,Hornbeam Park Rail Station,"",U,431130,453860,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.9798825753, -1.5268279163
9100LMNGTNS,LMNGTNS,LMS,Leamington Spa Rail Station,"",U,431735,265251,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,52.284503537, -1.5361991242
9100MOTFONT,MOTFONT,DBG,Mottisfont & Dunbridge Rail Station,"",U,431855,126160,2003-11-04T00:00:00,2011-05-23T18:36:02,4,rev,51.0339180849, -1.5470733978
9100DORE,DORE,DOR,Dore & Totley Rail Station,"",U,432380,381300,2003-11-04T00:00:00,2010-12-20T15:37:54,2,rev,53.3276504838, -1.5152967348
9100OUTWOOD,OUTWOOD,OUT,Outwood Rail Station,"",U,432410,424430,2005-04-04T00:00:00,2010-07-26T14:37:16,2,rev,53.7153018923, -1.5104034645
9100WKFLDWG,WKFLDWG,WKF,Wakefield Westgate Rail Station,"",U,432718,420848,2003-11-04T00:00:00,2014-07-16T09:26:29,2,rev,53.6830884864, -1.5061128915
9100LMTNTWN,LMTNTWN,LYT,Lymington Town Rail Station,"",U,432741,95804,2003-11-04T00:00:00,2007-02-13T17:06:21,4,rev,50.7609009488, -1.5371535429
9100STARBCK,STARBCK,SBE,Starbeck Rail Station,"",U,432800,456000,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.9990126023, -1.5011353743
9100COVNTRY,COVNTRY,COV,Coventry Rail Station,"",U,433200,278200,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,52.4008284145, -1.5134504816
9100LMTNPIR,LMTNPIR,LYP,Lymington Pier Rail Station,"",U,433287,95517,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,50.7582891862, -1.5294384152
9100WATSTND,WATSTND,WTS,Whatstandwell Rail Station,"",U,433315,354125,2003-11-04T00:00:00,2011-11-03T16:09:31,2,rev,53.0833304944, -1.5040836241
9100LYNDHRD,LYNDHRD,ANF,Ashurst New Forest Rail Station,"",U,433392,110147,2003-11-04T00:00:00,2006-11-24T15:29:01,2,rev,50.8898407705, -1.5266232035
9100WKFLDKG,WKFLDKG,WKK,Wakefield Kirkgate Rail Station,"",U,433880,420365,2003-11-04T00:00:00,2010-07-26T14:38:25,2,rev,53.6786734429, -1.4885726643
9100HUNGRFD,HUNGRFD,HGD,Hungerford Rail Station,"",U,434014,168545,2005-04-21T00:00:00,2006-09-18T18:24:34,1,rev,51.4149070262, -1.5122717583
9100SABR,SABR,SNA,Sandal & Agbrigg Rail Station,"",U,434365,418635,2003-11-04T00:00:00,2010-07-26T14:37:30,2,rev,53.663093616, -1.4814212432
9100COVAREN,COVAREN,CAA,Coventry Arena Rail Station,"",U,434479,283428,2015-03-31T11:04:00,2015-03-31T11:04:00,1,rev,52.4477480204, -1.4941167693
9100BRWHINS,BRWHINS,BNR,Brockley Whins Rail Station,"",U,434590,562900,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.9595502728, -1.4613667215
9100DINSDAL,DINSDAL,DND,Dinsdale Rail Station,"",U,434600,513400,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,54.5147386026, -1.4670752041
9100DUFIELD,DUFIELD,DFI,Duffield Rail Station,"",U,434604,343575,2003-11-04T00:00:00,2011-02-28T15:17:44,2,rev,52.9884176714, -1.4859685231
9100BNSLY,BNSLY,BNY,Barnsley Rail Station,"",U,434735,406535,2003-11-04T00:00:00,2010-12-20T15:37:54,2,rev,53.5543175422, -1.47716617
